Nome;Stand;País;Produtos;Site;Redes sociais;Atividade principal;Atividade secundária;Endereço
CASEIFICI GRANTERRE SPA;Hall 7 - D256;Italy;PARMAREGGIO PARMIGIANO REGGIANO GRATED 1kg , PARMAREGGIO PARMIGIANO REGGIANO 24 Months, GRANTERRE - AGRIFORM GRANA PADANO DOP  (https://www.granterre.it/it/product/grana-padano-oltre-9-mesi), GRANTERRE - AGRIFORM PIAVE DOP MEZZANO 180G  (https://www.granterre.it/it/product/piave-mezzano-2-6-mesi-180g), PARMAREGGIO PARMIGIANO REGGIANO DOP 30m (https://www.parmareggio.it/detail-prodotto/5), GRANTERRE CHEESE SLICES RANGE, GRANTERRE - PARMAREGGIO PARMIGIANO REGGIANO SNACK 20g +CRACKER  (https://www.granterre.it/it/product/snackvai-con-parmigiano-reggiano-dop-e-crackers-mulino-bianco), PARMAREGGIO PARMIGIANO REGGIANO DOP FLAKES 500g  (https://www.parmareggio.it/detail-prodotto/51), GRANTERRE - AGRIFORM GRANA PADANO GRATED 100G  (https://www.granterre.it/it/product/grana-padano-fresco-grattugiato), GRANTERRE - MASCARPONE  (https://www.granterre.it/it/product/mascarpone-granterre), GRANTERRE - PARMAREGGIO PARMIGIANO REGGIANO SNACK 20g +TARALLI (https://www.parmareggio.it/detail-prodotto/46), GRANTERRE - AGRIFORM ASIAGO DOP SNACK 20Gx5 (https://www.granterre.it/it/product/asiago-dop-stagionato-snack), GRANTERRE - AGRIFORM GRANA PADANO RISERVA DOP  (https://www.granterre.it/it/product/grana-padano-riserva-oltre-20-mesi), GRANTERRE - AGRIFORM PIAVE VECCHIO DOP, GRANTERRE-AGRIFORM GRANA PADANO DOP SNACK 20Gx5  (https://www.granterre.it/it/product/grana-padano-snack), GRANTERRE - PARMAREGGIO - ABC DELLA MERENDA SNACK 17g  (https://www.granterre.it/it/product/labc-originale-con-parmareggio-snack-grissini-e-frullato-100-frutta-gusto-pesca), PARMAREGGIO PARMIGIANO REGGIANO DOP GRATED 500g , GRANTERRE - AGRIFORM GRANA PADANO DOP 250g  (https://www.granterre.it/it/product/grana-padano-oltre-9-mesi), PARMAREGGIO PARMIGIANO REGGIANO SNACK 20gx5  (https://www.parmareggio.it/detail-prodotto/45);https://www.granterre.it/it/home;LinkedIn (https://it.linkedin.com/company/granterre), Facebook (https://www.facebook.com/GranTerre/), Instagram (https://www.instagram.com/granterrefood/), YouTube (https://www.youtube.com/@GranTerre);Dairy products, eggs;;Via Polonia 30-33, MODENA (MO), 42122, Italy
Sena Mills Refineries Exports Pvt Ltd;Hall 7 - J459;Sri Lanka;;;;Healthy foods and diet products;;No. 40, New Kelani Bridge Road,, Orugodawatte, Wellampitiya,, Greater Colombo., Colombo, 10600
SONDERJANSEN B.V.;Hall 6A - M012;Netherlands;;;;Fruits and vegetables;;Dorpsstraat 66, ROSMALEN, 5241 ED, .
SALVIANI OLIVES;Hall 1 - F176;;;;;Fruits and vegetables;;
RISERIA VIGNOLA GIOVANNI SPA;Hall 5A - J213;Italy;ORIGINI DEL GUSTO - Risotto Pink rice, truffle and bubbles (https://origini.risovignola.it/risotto-rosa-puro/), ORIGINI DEL GUSTO - Risotto Violet Rice, rainbow vegetables and hazelnuts (https://origini.risovignola.it/risotto-riso-viola/), ORIGINI DEL GUSTO - Rice Ramen Basmati Rice, kombu seaweed, shiitake mushrooms and fragrant broth (https://origini.risovignola.it/ramen-di-riso/), ORIGINI DEL GUSTO - Risotto Classic Carnaroli rice, Romano cheese, black pepper and lemon (https://origini.risovignola.it/risotto-riso-carnaroli/), ORIGINI DEL GUSTO - Seawood Paella Bomba Rice, shrimps,  squid and paprika flakes (https://origini.risovignola.it/paella-di-mare/);https://risovignola.it/;LinkedIn (https://www.linkedin.com/company/riseria-vignola-giovanni-s.p.a.), Facebook (https://www.facebook.com/risovignola), Instagram (https://www.instagram.com/riso_vignola/);Grocery products;;Corso Dante 24, BALZOLA - ALESSANDRIA, 15031, .
BERRYMARK;Hall 5A - S107;Belgium;IQF Frozen Fruits;https://www.berrymark.be/;;Confectionery, biscuits and pastry;Frozen products, Fruits and vegetables;Nijverheidslaan 5120, Sint-Truiden, 3800
LOSTE INTERNATIONAL;Hall 6 - F083;France;;;;Cured and Salted meat;Cured and salted meat;Le Bignon, BP 29, BEDEE, 35137, .
DUNKERQUE-PORT;Hall 6A - D001;France;;https://www.dunkerque-port.fr/;LinkedIn (https://www.linkedin.com/company/grand-port-maritime-de-dunkerque/posts/?feedView=all), Facebook (https://www.facebook.com/dunkerqueport/?locale=fr_FR), Instagram (https://www.instagram.com/dunkerqueport/), YouTube (https://www.youtube.com/user/DunkerquePort);Equipment, Technologies and Services;;2505, Route de l'Ecluse Trystram, Port 2505,, DUNKERQUE, 59140, -- N/A --
LPARTNERS INTERNATIONAL TRADING FZCO;Hall 6 - A187;United Arab Emirates;;;;Meat and tripe;;JLT, SILVER TOWER , CLUSTER I, OFFICE 30G, DUBAI, 337481, .
TERRAFOOD LLC;Hall 7 - G069;Ukraine;Protein Dessert Vanilla, Protein Dessert Caramel , Vegan Spreadable with Walnut taste, Vegan Spreadable with Avocado taste, Vegan Spreadable with Buttery Taste, Protein Dessert Mango Passion Fruit, Mozarella, Ferma Butter 82,5%, Smart Food Blue Boost Magic (https://terrafood.ua/en/archives/products/yogurt-smart-food-elderberry-blueberry-flax-fiber), Smart Food Tropic Bowl (https://terrafood.ua/en/archives/products/yogurt-smart-food-mango-passion-fruit-flax-fiber-2-8), Smart Food Power Booster (https://terrafood.ua/en/archives/products/yogurt-smart-food-elderberry-blueberry-amaranth), Smart Food Energy Booster Premialle (https://terrafood.ua/en/archives/products/yogurt-smart-food-mango-passionate-quinoa), Smart Food Beauty Booster Premialle (https://terrafood.ua/en/archives/products/7385), Smart Food Berry Bowl Magic (https://terrafood.ua/en/archives/products/yogurt-smart-food-raspberry-pomegranate-flax-fiber), High-Protein Glazed Curd Bar Vanilla, Copy of Copy of High-Protein Glazed Curd Bar Strawberry, Copy of High-Protein Glazed Curd Bar Banana;https://terrafood.ua/en/;LinkedIn (https://www.linkedin.com/company/terra-food/?viewAsMember=true);Dairy products, eggs;;8, Zelenogirska Str., 16, Polkovnyka Ganzhy Str., Tulchyn, KIEV, 03037, .
FABRIKA DECJE HRANE;;Serbia;Nutrino Lab HAAAAPPY GUT :) Oatmeal with dates apple chia & cinnamon 60g (https://nutrinolab.com/portfolio/?pf=gut-health-products&paged=1), Nutrino lab PLENTY ENERGY BOOST Mix of apple, mango, orange & black tea 180g (https://nutrinolab.com/portfolio/?pf=energy-boost&paged=1), Nutrino Milk Cereal 7 Grain, Nutrino Lab SOOOOOOO GUT :) Oatmeal with dates banana coconut cocoa & chia 60g (https://nutrinolab.com/portfolio/?pf=gut-health-products&paged=1), Nutrino lab Cloudy tropical mix Apple Mango Passion Fruit & Banana 180g (https://nutrinolab.com/portfolio/?pf=fruits&paged=1), Nutrino lab Junior mix apple banana biscuits 180g (https://nutrinolab.com/portfolio), Nutrino lab Root power mix Apple Raspberry Strawberry & Beetroot 180g (https://nutrinolab.com/portfolio/?pf=fruits-veggies&paged=1), Nutrino lab Wake up mix Apple Orange Carrot & Ginger 180g (https://nutrinolab.com/portfolio/?pf=fruits-veggies&paged=1), Nutrino lab Fitness ready mix Apple Kiwi Spinach & Banana 180g (https://nutrinolab.com/portfolio/?pf=fruits-veggies&paged=1), Nutrino Lab Much berry mix Apple Peach Strawberry & Raspberry 180g (https://nutrinolab.com/portfolio/?pf=fruits), Nutrino lab STRONG ENERGY BOOST Mix of apple, pear, passion fruit & guarana 180g (https://nutrinolab.com/portfolio/?pf=energy-boost&paged=1), Nutrino Lab Go mango mix Apple Mango Papaya & Banana 180g (https://nutrinolab.com/portfolio/?pf=fruits), Nutrino lab Take it easy mix apple mango oat & cinnamon 180g (https://nutrinolab.com/portfolio/?pf=oats&paged=1), Nutrino Lab Berry blossom mix Apple Blueberry & Sour Cherry 180g (https://nutrinolab.com/portfolio/?pf=fruits), Nutrino lab Cocoa anyway mix apple banana oat & cocoa 180g (https://nutrinolab.com/portfolio/?pf=oats&paged=1), Nutrino lab Very berry mix apple strawberry raspberry banana oat & flaxseed 180g (https://nutrinolab.com/portfolio/?pf=oats&paged=1), Nutrino lab VEEEERRY GUT :) Mix of apple, banana, raspberry & mint 180g (https://nutrinolab.com/portfolio/?pf=gut-health-products&paged=1), Nutrino Lab VEEEERRY GUT :) Oatmeal with dates flaxseed raspberry & strawberry 60g (https://nutrinolab.com/portfolio/?pf=gut-health-products&paged=1), Nutrino lab MATCHA ENERGY BOOST Mix of apple, kiwi, pineapple & matcha 180g (https://nutrinolab.com/portfolio/?pf=energy-boost&paged=1), Nutrino Lab Piña famosa mix apple pineapple & coconut 180g (https://nutrinolab.com/portfolio/?pf=fruits&paged=1), Nutrino lab SOOOOOOO GUT :) Mix of apple, banana & cocoa180g (https://nutrinolab.com/portfolio/?pf=gut-health-products&paged=1), Nutrino lab HAAAAPPY GUT :) Mix of apple, pineapple, mango, banana 180g (https://nutrinolab.com/portfolio/?pf=gut-health-products&paged=1);https://babyfoodfactory.com//;Facebook (https://www.facebook.com/nutrinobebe/), Instagram (https://www.linkedin.com/company/baby-food-factory/), TikTok (https://www.tiktok.com/@nutrinolab_), YouTube (https://www.youtube.com/@nutrinolab);Healthy foods and diet products;Confectionery, biscuits and pastry;Marsala Tita 206, Dobanovci, 11272, Serbia
Detay Gida Sanayi ve Ticaret A.S;Hall 5B - N262;Türkiye;;;;Confectionery, biscuits and pastry;;Meclisi Mebusan Caddesi İnebolu Sokak, Istanbul, 34427
ASTRUC Biscuits;Hall 5A - U034;France;Meringues vanilla flavour, Almonds tuiles, French financier, Coconut macaroons;https://www.astrucbiscuits.com/;LinkedIn (https://www.linkedin.com/company/biscuiterie-astruc/?viewAsMember=true), Facebook (https://www.facebook.com/BiscuiterieAstruc/), Instagram (https://www.instagram.com/biscuiterie_astruc/);Confectionery, biscuits and pastry;;2, rue Denis-Papin, Z.I. de l'Ambrésis, VILLEPARISIS, 77270, .
Grupo Rolo;Hall 5A - T200;Portugal;Cheese Bread Garlic and Oregano (https://tasterolo.com/products/rolo/garlic-and-oregano-cheese-bread), Cookies Triple Chocolate (https://tasterolo.com/products/rolo/triple-chocolate-cookies), Plain Mini Pancakes (https://tasterolo.com/products/rolo/mini-plain-pancakes), Plain Cheese Bread (https://tasterolo.com/products/rolo/plain-cheese-bread), DIPS Strawberry White & Milk Chocolate (https://tasterolo.com/products/rolo/dips-strawberry), DIPS Blueberry Milk & White Chocolate (https://tasterolo.com/products/rolo/dips-blueberry), Cookies Double Chocolate (https://tasterolo.com/products/rolo/double-chocolate-cookies), DIPS Raspberry White & Milk Chocolate (https://tasterolo.com/products/rolo/dips-raspberry), Cookies White Chocolate (https://tasterolo.com/products/rolo/white-chocolate-cookies), DIPS Mango White Chocolate (https://tasterolo.com/products/rolo/dips-mango), DIPS Pineapple White Chocolate & Coconut (https://tasterolo.com/products/rolo/dips-pineapple), DIPS Banana Milk Chocolate (https://tasterolo.com/products/rolo/dips-banana), Cookies Red Velvet (https://tasterolo.com/products/rolo/red-velvet-cookies);https://gruporolo.pt/;LinkedIn (https://www.linkedin.com/company/gruporolo/), Facebook (https://www.facebook.com/pastelariarolo/), Instagram (https://www.instagram.com/gruporolo/);Confectionery, biscuits and pastry;Frozen products;Zona Industrial das Gaeiras, Óbidos, 2510-752, Leiria
COVINOR SAS;Hall 5A - L028;France;;;;Grocery products;;139 rue Marcel Sembat, RAISMES, 59590, .
JERMUK GROUP;Hall 5C - H016;Armenia;;;;Non-alcoholic beverages;;77/3, Arshakunyats ave,, YEREVAN, 0007, .
Nature Star Corp. d/b/a Root Foods;Hall 7 - K342;United States of America;Root Foods Cauliflower Chips (https://rootfoodsco.com/products/root-foods-6-pack?variant=46012215853211), Root Foods Onion Chips (https://rootfoodsco.com/products/root-foods-6-pack?variant=46012215820443), Root Foods SixMix Chips (https://rootfoodsco.com/products/root-foods-6-pack?variant=46012215787675), Root Foods Beet Chips (https://rootfoodsco.com/products/root-foods-6-pack?variant=46012215885979), Root Foods Zucchini Chips (https://rootfoodsco.com/products/root-foods-6-pack?variant=46069802074267), Root Foods Tomato Chips (https://rootfoodsco.com/products/root-foods-6-pack?variant=46012215754907);https://rootfoodsco.com/;Instagram (https://www.instagram.com/therootfoods/);Grocery products;;586 Mateo Street, Los Angeles, 90013, California
Consorcio Español Conservero SA;Hall 6 - F071;Spain;;;;Grocery products;;Eguilior 1, Santoña, 39740
Binggrae Co., Ltd.;Hall 6 - C019;South Korea;;;;Confectionery, biscuits and pastry;;76 Saemunan-ro, Jongno-gu, Seoul, Repu, Seoul, 03185
Young Poong Co., Ltd.;Hall 6 - B020;South Korea;;;;Delicatessen, Ready to Eat;;161, Seongseogongdanbuk-ro, Dalseo-gu, Daegu, 42709
CAOLY INDUSTRIAL CO., LTD.;Hall 5C - G255;Taïwan;GABA Oolong Tea, Monarch gift box, Fresh Apple Black Tea;https://www.caolytea.tw/;Facebook (https://www.facebook.com/caolyteatw), Instagram (https://www.instagram.com/caolyteashop), YouTube (https://www.youtube.com/watch?v=7T-9yoEZy4A);Non-alcoholic beverages;;No.154, Linsen N. Rd., Zhongshan Dist., Taipei City, 104004
AKSAM Sp. z o.o. Sp. k.;Hall 5B - N189;Poland;;;;Confectionery, biscuits and pastry;;Karolina 70, Osiek, 32-608
Ukr-Snacks;Hall 5B - N002;Ukraine;"TM ""LEVANTOS"" (https://www.ukr-snacks.com/), TM ""OBERTOS""";https://www.ukr-snacks.com/;;Confectionery, biscuits and pastry;;Ivano - Frankivsk region, Khmelnytskogo B. street b. 1, Obertyn village, 78060
Salaisons MERLE;Hall 6 - D119;France;;;;Cured and Salted meat;Cured and salted meat;Le Bourg, POUILLY LES FEURS, 42110, .
MALAÏKA;;France;;;;Grocery products;;44, rue Jean Jaques Henner, SAINT-LOUIS, 68300, .
KILARGO SP. Z O.O.;;Poland;;;;Confectionery, biscuits and pastry;;Torowa 13, Dobroń, 95-082
ICEX ESPAÑA EXPORTACIÓN E INVERSIONES;"Hall 2 - N274; Hall 6 - A170; Hall 6 - A156; Hall 2 - M274; Hall 2 - L274; Hall 2 - N258; Hall 2 - L258; Hall 2 - M258; Hall 2 - N220; Hall 2 - L220; Hall 2 - M220; Hall 2 - L196; Hall 2 - M196; Hall 2 - N196; Hall 2 - P196; Hall 2 - L170; Hall 2 - M170; Hall 2 - L136; Hall 2 - M136; Hall 2 - M18; Hall 2 - L104";Spain;Foods and Wines from Spain;;;Organizations, federations, institutions;;Paseo de la Castellana, 278, MADRID, 28046, .
FOODIBEV INTERNATIONAL;Hall 5C - G078;Spain;MONFRUIT long life yogurt (https://foodibev.com/en/products/), EXO MIX whisky drink (https://exomixdrink.com/en/home/), MULIK full cream flavoured milk (https://mulik.es/en/), DOUBLE SEVEN energy drink (https://doublesevenenergy.com/fr/), MAGIC Sparkling fruit drink (https://magicsparkling.es/fr/), EXO MIX vodka ready to drink (https://exomixdrink.com/), DOUBLE SEVEN flavoured energy drinks (https://doublesevenenergy.com/fr/);https://foodibev.com/;LinkedIn (https://es.linkedin.com/company/foodibev), YouTube (https://www.youtube.com/channel/UCvAkEcWbzqo_yLJ3dbUZQ-g);Non-alcoholic beverages;Dairy products, eggs, Other alcoholic beverages;Tte. Coronel Valenzuela, 5  - 1st floor, Zaragoza, 50004, Spain
Fair Exports Pvt ltd;Hall 6 - K252;India;;;;Meat and tripe;;20/1, Site IV, Industrial Area,, SAHIBABAD , UTTAR PRADESH, SAHIBABAD, 201010, .
TABLADILLO;Hall 6 - F190;Spain;Suckling pig, Pre-cooked suckling pig;https://www.tabladillo.es/;LinkedIn (https://es.linkedin.com/company/tabladillo), Facebook (https://www.facebook.com/tabladillo.es), Instagram (https://www.instagram.com/tabladillo_es/), TikTok (https://www.tiktok.com/@tabladillo_es), YouTube (https://www.youtube.com/channel/UC3V-Wm7GE-JhBPVTp8chV_g);Meat and tripe;Frozen products, Delicatessen, Ready to Eat;Paraje de los Barreros 19, pol., Tabladillo, Segovia, 40122, Segovia
BELGIUM WALLONIA (AWEX);"Hall 5B - M283; Hall 5B - M309; Hall 6 - J188; Hall 5A - E042; Hall 5A - F056; Hall 5A - L217";Belgium;;https://buyinwallonia.be/en/grappe/sial-2026-g9b3c82afa8d?utm_content=company-section&utm_source=grappe-buy-in-Wallonia&utm_medium=catalogue-buy-in-Wallonia&utm_campaign=sial-2026;;Organizations, federations, institutions;;Place Sainctelette, 2, BRUXELLES, 1080, .
FRANTOIO VENTURINO BARTOLOMEO;Hall 1 - F127;Italy;Pesto with genoese basil PDO and Italian peppers (https://www.frantoioventurino.com/en/our-brands/frantoio-venturino/prodotto/?ID=2080&T=Pesto%20with%20Genoese%20Basil%20PDO%20&%20Italian%20peppers), Venturino Extra Virgin Olive oil PDO (https://www.frantoioventurino.com/en/our-brands/frantoio-venturino/prodotto/?ID=1100&T=Venturino%20PDO), Red Pesto (https://www.frantoioventurino.com/en/our-brands/frantoio-venturino/prodotto/?ID=1213&T=Pesto%20Rosso%20alla%20ligure%20(RED%20PESTO)), Pesto with sundried tomato and balsamic vinegar of Modena PGI (https://www.frantoioventurino.com/en/our-brands/frantoio-venturino/prodotto/?ID=4405&T=Pesto%20with%20Sundried%20Tomato%20and%20Balsamic%20Vinegar%20of%20Modena%20PGI), Pesto with zucchini and genoese basil PDO (https://www.frantoioventurino.com/en/our-brands/frantoio-venturino/prodotto/?ID=4404&T=Pesto%20with%20Zucchini%20and%20Genoese%20Basil%20PDO), Venturino Extra Virgin Olive Oil Cultivar Taggiasca (https://www.frantoioventurino.com/en/our-brands/frantoio-venturino/prodotti/?ID=1093&T=EXTRA%20VIRGIN%20OLIVE%20OIL), Extra virgin olive oil 100% Italian (https://www.frantoioventurino.com/en/our-brands/frantoio-venturino/prodotto/?ID=1159&T=Must%20100%25%20Italian), Pesto with sundried tomato and Balsamic Vinigar of Modena PGI (https://www.frantoioventurino.com/en/our-brands/frantoio-venturino/prodotto/?ID=4405&T=Pesto%20with%20Sundried%20Tomato%20and%20Balsamic%20Vinegar%20of%20Modena%20PGI), Pesto with artichoke and Italian ricotta cheese (https://www.frantoioventurino.com/en/our-brands/frantoio-venturino/prodotto/?ID=4406&T=Pesto%20with%20Artichokes%20and%20Italian%20Ricotta%20Cheese), Walnuts Pesto (https://www.frantoioventurino.com/en/our-brands/frantoio-venturino/prodotto/?ID=4403&T=Walnuts%20Pesto), Taggiasca olives in brine (https://www.frantoioventurino.com/en/our-brands/frantoio-venturino/prodotto/?ID=1191&T=Taggiasca%20Olives%20in%20Brine), Pesto with genoese basil PDO and Taggiasca olives (https://www.frantoioventurino.com/en/our-brands/frantoio-venturino/prodotto/?ID=1227&T=Pesto%20with%20Genoese%20Basil%20PDO%20and%20Taggiasca%20Olives), Pesto alla genovese with Genoese basil PDO (https://www.frantoioventurino.com/en/our-brands/frantoio-venturino/prodotto/?ID=1206&T=Pesto%20alla%20Genovese%20with%20Genoese%20Basil%20PDO), Pesto Delicato without garlic (https://www.frantoioventurino.com/en/our-brands/frantoio-venturino/prodotto/?ID=1211&T=Pesto%20%E2%80%9CDelicato%E2%80%9D%20without%20garlic), Pesto Delicato without Garlic (https://www.frantoioventurino.com/en/our-brands/frantoio-venturino/prodotto/?ID=1211&T=Pesto%20%E2%80%9CDelicato%E2%80%9D%20without%20garlic), Patè made with Taggiasca olives (https://www.frantoioventurino.com/en/our-brands/frantoio-venturino/prodotto/?ID=1200&T=P%C3%A2t%C3%A9%20made%20with%20Taggiasca%20Olives), Pitted Taggiasca olives in extra virgin olive oil (https://www.frantoioventurino.com/en/our-brands/frantoio-venturino/prodotto/?ID=1161&T=Pitted%20Taggiasca%20Olives%20in%20Extra%20Virgin%20Olive%20Oil), Pesto with Genoese Basil PDO without garlic (https://www.frantoioventurino.com/en/our-brands/fratelli-semeria/prodotto/?ID=1303&T=Pesto%20with%20basilico%20Genovese%20PDO%20-%20without%20garlic), Organic extra virgin olive oil (https://www.frantoioventurino.com/en/our-brands/frantoio-venturino/prodotto/?ID=1242&T=Organic%20Extra%20Virgin%20Olive%20Oil), Pitted Riviera olives in extra virgin olive oil (https://www.frantoioventurino.com/en/our-brands/fratelli-semeria/prodotto/?ID=1307&T=Pitted%20Riviera%20Olives), Organic Riviera Olive's Patè (https://www.frantoioventurino.com/en/our-brands/frantoio-venturino/prodotto/?ID=1435&T=Organic%20Riviera%20Olive%E2%80%99s%20P%C3%A2t%C3%A9), Red Pesto with Genoese basil PDO (https://www.frantoioventurino.com/en/our-brands/fratelli-semeria/prodotto/?ID=1304&T=Red%20Pesto%20with%20basilico%20Genovese%20PDO), 100% Italian extra virgin olive oil  (https://www.frantoioventurino.com/en/our-brands/fratelli-semeria/prodotto/?ID=1292&T=100%25%20Italian), Pesto with Genoese Basil PDO (https://www.frantoioventurino.com/en/our-brands/fratelli-semeria/prodotto/?ID=1302&T=Pesto%20with%20basilico%20Genovese%20PDO%20-%20classic%20recipe), Riviera olives in brine (https://www.frantoioventurino.com/en/our-brands/fratelli-semeria/prodotto/?ID=1306&T=Riviera%20Olives%20in%20Brine), Organic Riviera Pitted olives  (https://www.frantoioventurino.com/en/our-brands/frantoio-venturino/prodotto/?ID=1243&T=Organic%20Riviera%20Pitted%20Olives%20in%20Brine), Riviera olives patè (https://www.frantoioventurino.com/en/our-brands/fratelli-semeria/prodotto/?ID=1308&T=Riviera%20Olive%E2%80%99s%20Pate), The sauces of the Ligurian tradition (https://www.frantoioventurino.com/en/our-brands/frantoio-venturino/prodotto/?ID=1215&T=The%20sauces%20of%20the%20Ligurian%20Tradition), Pesto alla Genoves with Genoese basil PDO (https://www.frantoioventurino.com/en/our-brands/frantoio-venturino/prodotto/?ID=1206&T=Pesto%20alla%20Genovese%20with%20Genoese%20Basil%20PDO);https://www.frantoioventurino.com/;LinkedIn (https://www.linkedin.com/company/frantoio-venturino/?originalSubdomain=it), Facebook (https://www.facebook.com/people/Frantoio-Venturino/100067963634975/), Instagram (https://www.instagram.com/frantoio_venturino/);Grocery products;;Via Molini, 1, Diano San Pietro, 18013, Liguria
NATURAL;Hall 5B - R347;Romania;Tiramisu - Cake with instant coffee, Puff pastry rolls with vanilla taste cream, Sour cherry cake, Amandina cake;https://naturalcompany.eu/;;Confectionery, biscuits and pastry;Frozen products;Pitesti Street, No. 110K, SLATINA, 230104, Olt
